Hindi,Telugu,Telugu(Devnagari),Telugu(WX),Tamil
वह अपने साइकिल पर स्कूल जाती है,అతను తన సైకిల్ మీద స్కూల్ కి వెళ్తాడు,अतनु तन सॆॖकिल् मीद स्कूल् कि वॆळ्ताडु,awanu wana seVkil mIxa skUl ki veVlYwAdu,ఆమె తన సైకిల్ పైన స్కూల్ కి వెళ్తుంది,
वह बाज़ार से एक पुसतक खरीदेगा,అతను Marketplace నుండి కొనుగోలు పుస్తకాలు ఉంది,अतनु Marketplace नुंडि कॊनुगोलु पुस्तकालु उंदि,awanu Marketplace nuMdi koVnugolu puswakAlu uMxi,అతను బజారు నుంచి ఒక పుస్తకం కొనుకుంటుంది,
वह गीत गाता है,ఆమె పాటలు పాడాడు,आमॆ पाटलु पाडाडु,AmeV pAtalu pAdAdu,అతను పాట పాడ్తాడు,
वह कहाँ काम करता है,అతను పనిచేసిన,अतनु पनिचेसिन,awanu panicesina,అతను ఎక్కడ పని చేస్తాడు,
वह कमरे में क्या कर रहा था,అతను గదిలో చేస్తున్న,अतनु गदिलो चेस्तुन्न,awanu gaxilo ceswunna,అతను గదిలో ఏమి చేస్తున్నాడు,
वह मुम्बई में क्या कर रही थी,అతను ముంబై చేస్తున్న,अतनु मुंबॆॖ चेस्तुन्न,awanu muMbeV ceswunna,ఆమె ముంబాయిలో ఏమి చేస్తుండేది,
वह रामायण पढ़ रहा है,అతను రామాయణ చదవడానికి,अतनु रामायण चदवडानिकि,awanu rAmAyaNa caxavadAniki,అతను రామాయణం చదువుతున్నాడు,
वह स्कूल कब जाता है,పాఠశాల ఉన్నప్పుడు,पाठशाल उन्नप्पुडु,pATaSAla unnappudu,అతను స్కూల్ కి ఎప్పుడు వెళ్తాడు,
वह सोमवार के पहले मुम्बई गया है,అతను సోమవారం ముందు ముంబై లో,अतनु सोमवारं मुंदु मुंबॆॖ लो,awanu somavAraM muMxu muMbeV lo,అతను సోమవారం కంటే ముందు ముంబాయికి వెళ్లాడు,
वह वीडियो गेम खेल रही है,ఆయన వీడియో గేమ్స్ ఆడుతూ,आयन वीडियो गेम्स् आडुतू,Ayana vIdiyo gems AduwU,ఆమె వీడియో గేమ్ ఆడుతుంది,
वह दुबारा क्रीकेट खेल सकता है,అతను మళ్ళీ గేమ్ roquet కాలేదు,अतनु मळ्ळी गेम् roquet कालेदु,awanu malYlYI gem roquet kAlexu,అతను మళ్లీ క్రికెట్ ఆడ గలడు,
वह यहाँ कभी नहीं आया है,ఆయన ఇక్కడ జరుగలేదు,आयन इक्कड जरुगलेदु,Ayana ikkada jarugalexu,అతను ఇక్కడికి ఎప్పుడూ రాలేదు,
वे अपना पाठ याद करते है,వారు వారి పాఠాలు చేయండి,वारु वारि पाठालु चेयंडि,vAru vAri pATAlu ceyaMdi,వాళ్లు తమ పాఠాలని కంఠస్థం చేసుకుంటారు,
वे बहुत आलसी थे,వారు చాలా సోమరి ఉన్నాయి,वारु चाला सोमरि उन्नायि,vAru cAlA somari unnAyi,వాళ్లు చాలా బద్దకస్థులు,
विक्टर और मनोज जूस पीते हैं,విక్టర్ మనోజ్ రసాలను తాగడానికి,विक्टर् मनोज् रसालनु तागडानिकि,viktar manoj rasAlanu wAgadAniki,విక్టర్ మరియు మనోజ్ జూస్ తాగుతారు,
तुम क्या कहना चाहते हो,మీరు చెప్పే అనుకుంటున్నారు,मीरु चॆप्पे अनुकुंटुन्नारु,mIru ceVppe anukuMtunnAru,నువ్వు ఏమి చెప్పదలుచుకున్నావు,
तुम क्या कर रहे हो,మీరు ఏం చేస్తున్నారు?,मीरु एं चेस्तुन्नारु?,mIru eM ceswunnAru?,నువ్వు ఏమి చేస్తున్నావు,
तुमने आगरा में क्या देखा,మీరు ఆగ్రా హోటల్ లో ఏం చేసావ్,मीरु आग्रा होटल् लो एं चेसाव्,mIru AgrA hotal lo eM cesAv,నువ్వు ఆగ్రాలో ఏమి చూసావు,
तुमने क्या खरीदा,మీరు కొనుగోలు చేసిన,मीरु कॊनुगोलु चेसिन,mIru koVnugolu cesina,నువ్వు ఏం కొన్నావు,
तुम सड़क कब पार करते हो,మీరు రోడ్ తిర్యక్ కలిగి,मीरु रोड् तिर्यक् कलिगि,mIru rod wiryak kaligi,నువ్వు రోడ్డుని ఎప్పుడు దాటుతావు,
तुम संजय से कब मिले,మీరు సంజయ్ కలిసినప్పుడు,मीरु संजय् कलिसिनप्पुडु,mIru saMjay kalisinappudu,నువ్వు సంజయ్ ని ఎప్పుడు కలిశావు,
तुम्हारी माताजी क्या करती हैं,ఏమి మీ తల్లి ఆమె చేస్తాను,एमि मी तल्लि आमॆ चेस्तानु,emi mI walli AmeV ceswAnu,మీ అమ్మగారు ఏం చేస్తారు,
